Company Names,Cars Names,Engines,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Performance(0 - 100 )KM/H,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
BMW,118i URBAN LINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,Petrol,5,250 Nm,"$35,000"
VOLVO,XC90,I6,"1,969 cc",247 hp,200 km/h,6.5 sec,Petrol,7,400 Nm,"$60,000"
VOLVO,XC90,I6,"1,969 cc",247 hp,200 km/h,6.5 sec,Diesel,7,400 Nm,"$60,000"
VOLVO,XC60,I6,"1,969 cc",247 hp,220 km/h,6.4 sec,Petrol,5,400 Nm,"$55,000"
VOLVO,XC60,I6,"1,969 cc",247 hp,220 km/h,6.4 sec,Diesel,5,400 Nm,"$55,000"
VOLVO,S90,I6,"1,969 cc",295 hp,250 km/h,5.9 sec,Petrol,5,400 Nm,"$60,000"
VOLVO,S90,I6,"1,969 cc",295 hp,250 km/h,5.9 sec,Diesel,5,400 Nm,"$60,000"
KIA,SPORTAGE LX,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,Petrol,5,250 Nm,"$27,000"
KIA,SPORTAGE EX,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,Petrol,5,250 Nm,"$30,000"
KIA,SPORTAGE GT-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,Petrol,5,350 Nm,"$32,000"
KIA,SPORTAGE SX TURBO,I4,"1,998 cc",240 hp,210 km/h,6.7 sec,Petrol,5,400 Nm,"$36,000"
KIA,SPORTAGE NIGHTFALL EDITION,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,Petrol,5,350 Nm,"$33,000"
HONDA,CIVIC TYPE R,I4,"1,996 cc",315 hp,272 km/h,5.7 sec,Petrol,5,400 Nm,"$44,000"
KIA,SPORTAGE PHEV,I4 + ELECTRIC,"1,600 cc ",261 hp,180 km/h,8.0 sec,Plug-in Hybrid,5,350 Nm,"$41,000"
KIA,SPORTAGE PHEV,I4 + ELECTRIC, 13.8 kwh,261 hp,180 km/h,8.0 sec,Plug-in Hybrid,5,350 Nm,"$41,000"
KIA,SPORTAGE 2024(BASE MODEL),I4,"2,480 cc",187 hp,200 km/h,8.0 sec,Petrol,5,250 Nm,"$26,000"
KIA,SPORTAGE 2024(TOP TRIM),I4,"1,998 cc",240 hp,210 km/h,6.7 sec,Petrol,5,400 Nm,"$38,000"
KIA,SPORTAGE 2024(BASE AWD),I4,"2,480 cc",187 hp,200 km/h,8.3 sec,Petrol,5,250 Nm,"$29,000"
KIA,SPORTAGE 2024(BASE AWD),I4,"2,480 cc",187 hp,200 km/h,8.3 sec,AWD,5,250 Nm,"$29,000"
KIA,SPORTAGE X-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,Petrol,5,350 Nm,"$32,500"
KIA,SPORTAGE 2024(S TRIM),I4,"2,480 cc",187 hp,200 km/h,8.2 sec,Petrol,5,250 Nm,"$28,000"
HONDA,ACCORD,I4,"1,498 cc",192 hp,201 km/h,7.1 sec,Petrol,5,370 Nm,"$29,400"
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600 cc ",227 hp,180 km/h,8.0 sec,Hybrid,5,350 Nm,"$37,000"
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC, 1.49 kwh,227 hp,180 km/h,8.0 sec,Hybrid,5,350 Nm,"$37,000"
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,"1,598 cc ",261 hp,180 km/h,7.9 sec,Plug-in Hybrid,5,350 Nm,"$42,000"
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC, 13.8 kwh,261 hp,180 km/h,7.9 sec,Plug-in Hybrid,5,350 Nm,"$42,000"
KIA,SPORTAGE 2024(X-PRO),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,Petrol,5,400 Nm,"$36,000"
KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,Petrol,5,400 Nm,"$38,000"
